Track Name,Artists,Album Cover URL
Glycerine - Remastered,Bush,https://i.scdn.co/image/ab67616d0000b2731581237e4d580feafaed6bc0
Wish You Were Here,Incubus,https://i.scdn.co/image/ab67616d0000b273289320ef78f164a472698926
Self Esteem,The Offspring,https://i.scdn.co/image/ab67616d0000b2730158cbde70672dd821972907
Disconnected,Keane,https://i.scdn.co/image/ab67616d0000b273c953dab073662f0900f5ec22
Time After Time,Cyndi Lauper,https://i.scdn.co/image/ab67616d0000b273681265e351fc75e60d0fa50b
La Grange (2005 Remaster),ZZ Top,https://i.scdn.co/image/ab67616d0000b273db9c5945ce3a3f873695d18a
Owner of a Lonely Heart,Yes,https://i.scdn.co/image/ab67616d0000b2739d9a49f795b4340538f43435
This Love,Pantera,https://i.scdn.co/image/ab67616d0000b273347c0a40c1e3f0c890a6d9d6
Into the Groove,Madonna,https://i.scdn.co/image/ab67616d0000b273f1d95f4dbd086792e3ea5aa3
Lightning Crashes,Live,https://i.scdn.co/image/ab67616d0000b27323d8d82a798baa960fdb5070
Plush - Acoustic,Stone Temple Pilots,https://i.scdn.co/image/ab67616d0000b27377696910e15c42a5e37636e5
Creep,Stone Temple Pilots,https://i.scdn.co/image/ab67616d0000b273147e0a8a7c795a4eb7c511db
Gold,Spandau Ballet,https://i.scdn.co/image/ab67616d0000b27357051c7a61d037d4f2ddaeb4
Drag the Waters,Pantera,https://i.scdn.co/image/ab67616d0000b273e698b41c758c1a49fecbc1cf
Living Through Me (Hells' Wrath),Pantera,https://i.scdn.co/image/ab67616d0000b273e698b41c758c1a49fecbc1cf
You've Got to Belong to It,Pantera,https://i.scdn.co/image/ab67616d0000b27392f35233e7314a71e9f275a2
Learn to Fly,Foo Fighters,https://i.scdn.co/image/ab67616d0000b2731759635c92b6314d3d3c9fe9
Murder On The Dancefloor,Sophie Ellis-Bextor,https://i.scdn.co/image/ab67616d0000b273b736151ed1c04f2d41d5f69e
Mistakes,John Frusciante,https://i.scdn.co/image/ab67616d0000b273debfbae473f3d557cd5d74d9
Dissolve - EP Version,John Frusciante,https://i.scdn.co/image/ab67616d0000b2734d29a65f2f9d36e29896005a
Next Time You See Her,Eric Clapton,https://i.scdn.co/image/ab67616d0000b2735e7464d9d8a25b2bf74b782a
"Stars, Strays And Ashtrays",Eric Clapton,https://i.scdn.co/image/ab67616d0000b2735e7464d9d8a25b2bf74b782a
Psychosocial,Slipknot,https://i.scdn.co/image/ab67616d0000b273e7fbc0883149094912559f2c
Sunshine - Remastered 2024,Keane,https://i.scdn.co/image/ab67616d0000b27392aab888dd49d19ddb39fb62
Dirty Window,Metallica,https://i.scdn.co/image/ab67616d0000b273ee5869b2880109918fc47199
Tears Don't Fall,Bullet For My Valentine,https://i.scdn.co/image/ab67616d0000b27354113df5ab7a69df8a44c37e
Everlong,Foo Fighters,https://i.scdn.co/image/ab67616d0000b2730389027010b78a5e7dce426b
Best of You,Foo Fighters,https://i.scdn.co/image/ab67616d0000b2736c44679425e2695001b35d72
Freak On a Leash,Korn,https://i.scdn.co/image/ab67616d0000b27350d216aebaf98e8ac9947fd5
Spiralling,Keane,https://i.scdn.co/image/ab67616d0000b2739e92d9435e01bfcf771a5514
Don't Back Down,Mammoth,https://i.scdn.co/image/ab67616d0000b273d7f83898cd060fc5578f34cf
Domination,Pantera,https://i.scdn.co/image/ab67616d0000b2730ce52f4ba340a1e459e6a978
"Chopin: Nocturne No. 20 in C-Sharp Minor, Op. Posth.","Frédéric Chopin, Mikhail Pletnev",https://i.scdn.co/image/ab67616d0000b273ae4dfa09519c27b64cd5a958
"Vivaldi Variation (Arr. for Piano from Concerto for Strings in G Minor, RV 156 by F. Christl)","Antonio Vivaldi, Florian Christl",https://i.scdn.co/image/ab67616d0000b273286ad27505307c3d93ac6ab1
The Heart of Life,John Mayer,https://i.scdn.co/image/ab67616d0000b2737af5fdc5ef048a68db62b85f
Girls on Film - 2010 Remaster,Duran Duran,https://i.scdn.co/image/ab67616d0000b2730fc83f41d5f0bd27105e5048
The Reflex - Single Version; 2010 Remaster,Duran Duran,https://i.scdn.co/image/ab67616d0000b273b66a8f4f3f57f2cc43c88775
The Wild Boys,Duran Duran,https://i.scdn.co/image/ab67616d0000b2738fb8aca87001515a6945b9b7
A View to a Kill,Duran Duran,https://i.scdn.co/image/ab67616d0000b2735c8f2a04c85c677bfe2b1639
The Power Of Love - 2006 Remastered Version,Huey Lewis & The News,https://i.scdn.co/image/ab67616d0000b273833510f734a8ac5a46307433
Throw Away Your Television,Red Hot Chili Peppers,https://i.scdn.co/image/ab67616d0000b273de1af2785a83cc660155a0c4
The Flood,Escape the Fate,https://i.scdn.co/image/ab67616d0000b273b69af5d9f8fb68e9c820d662
Laid,James,https://i.scdn.co/image/ab67616d0000b273b67dbb84e0c1f82be886c8ea
This Velvet Glove,Red Hot Chili Peppers,https://i.scdn.co/image/ab67616d0000b273a9249ebb15ca7a5b75f16a90
Thank You,Dido,https://i.scdn.co/image/ab67616d0000b2733e5cbf3b3ac5905cb68377d5
